Ek_Özellikler,Güç_W,Çıkarılabilir_Hazne,Zamanlayıcı,Kapasite,Hazne_Sayısı,Türü,Kontrol_Paneli,price,marka,Renk,Materyal,Yağ
LED Ekran,1500,Var,Var,"5 - 5,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,3.299,Tigre,,Metal,
,1000,Var,,"0,9 lt ve Altı",,,,102,Blackcraft,,,
Isı Ayarı,1700,Var,,6 lt ve Üzeri,,,,5.599,Instant,,,
Isı Ayarı,1100,Yok,,"5 - 5,9 lt",,,,6.399,Arçelik,,,
LED Ekran,1400,Var,Var,"4 - 4,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,4.699,Airfryer,,Plastik,
,1000,Var,,"2 - 2,9 lt",,,,699,Luxell,,,
Isı Ayarı,1400,Var,Yok,"1 - 1,9 lt",Tek,Yağlı,Mekanik,2.600,Beko,Beyaz,Plastik,
Isı Ayarı,1700,Var,,,,,,5.999,Princess,Siyah,,
Isı Ayarı,1800,Var,Var,,Tek,Yağsız_Airfryer,Dokunmatik,3.189,Yui,,Metal,
LED Ekran,1700,Var,Var,,Tek,Yağsız_Airfryer,Dokunmatik,2.499,Lydsto,,Metal,
LED Ekran,1400,Var,Var,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Dokunmatik,4.684,Mutolg,,Plastik,
LED Ekran,1750,Var,Var,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Dokunmatik,5.889,Arçelik,,Metal,
Isı Ayarı,1600,Var,Var,"2 - 2,9 lt",Tek,Yağsız_Airfryer,Mekanik,1.400,King,Siyah,Plastik,
Isı Ayarı,1400,Var,Var,,Tek,Yağsız_Airfryer,Mekanik,2.699,Philips,Siyah,Plastik,
Isı Ayarı,1500,Var,Var,"5 - 5,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,2.149,Cvs,,Metal,
Otomatik Kapanma,1300,Var,Var,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Dokunmatik,2.699,Yasomi,,Plastik,
Isı Ayarı,1750,Var,Var,"5 - 5,9 lt",Tek,Yağsız_Airfryer,Mekanik,3.650,Fakir,,Metal,
Zamanlayıcı,1700,Var,Var,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Dokunmatik,3.799,Tigre,,Metal,
LED Ekran,1500,Var,Var,,Çift,Yağsız_Airfryer,Dokunmatik,12.950,Uniwho,Yeşil,Plastik,
LED Ekran,1700,Var,Var,6 lt ve Üzeri,Çift,Yağsız_Airfryer,Dokunmatik,4.888,KENWOOD,Siyah,Plastik,
LED Ekran,1850,Var,Var,"5 - 5,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,6.499,Tefal,,Metal,
Isı Ayarı,1000,Var,Var,"0,9 lt ve Altı",Tek,Yağlı,Dokunmatik,11.250,Hzl,,Metal,
LED Ekran,1500,Var,,,,,,4.469,Electrolux,,,
,1150,Var,,"0,9 lt ve Altı",,,,5.734,Raycy,,,
Otomatik Kapanma,1700,Var,Var,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Dokunmatik,3.999,Elenberg,,Metal,
,1700,Var,,,,,,2.399,Kochler,,,
,1030,Yok,,,,,,550,Essan,,,
Otomatik Kapanma,1700,Var,Var,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Mekanik,1.989,Dijitsu,,Metal,
Zamanlayıcı,1500,Var,Var,"5 - 5,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,1.699,Taç,Siyah,,
,2500,Var,,6 lt ve Üzeri,,,,6.499,Karaca,,,
LED Ekran,1800,Var,,,,,,7.899,Gourmet,,,
LED Ekran,1600,Yok,,6 lt ve Üzeri,Üçlü,Yağsız_Airfryer,Dokunmatik,3.699,SİNBO,,Metal,
Isı Ayarı,1200,Var,Var,"5 - 5,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,6.490,Dynoas,,,
Zamanlayıcı,1400,Var,Var,"4 - 4,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,2.299,Mi,,Metal,
Zamanlayıcı,1750,Var,Var,"5 - 5,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,9.999,Fakir,,,
LED Ekran,1300,Var,Var,"4 - 4,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,2.195,Pierre,,Metal,
Zamanlayıcı,1700,Var,Var,6 lt ve Üzeri,Tek,Yağsız_Airfryer,Dokunmatik,6.689,Philips,,Plastik,
LED Ekran,1500,Var,Var,"3 - 3,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,2.444,Schafer,,,
LED Ekran,1700,Var,,"3 - 3,9 lt",,,,5.999,Yasomi,,,
Isı Ayarı,2850,Var,Var,,Çift,Yağsız_Airfryer,Dokunmatik,3.499,Yasomi,Siyah,Plastik,
LED Ekran,1300,Yok,Var,,Tek,Yağsız_Airfryer,Mekanik,1.499,Instant,,,
Zamanlayıcı,1550,Var,Var,"4 - 4,9 lt",,Yağsız_Airfryer,Dokunmatik,6.899,Karaca,,,
Otomatik Kapanma,1700,Var,Var,"4 - 4,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,1.799,Lydsto,,Plastik,
LED Ekran,1800,Var,Var,,Tek,Yağsız_Airfryer,Mekanik,3.299,Wiami,,Plastik,
LED Ekran,1400,Var,Var,"4 - 4,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,5.499,Philips,,Plastik,
Otomatik Kapanma,1500,Var,Var,"5 - 5,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,1.999,Dynamic,,Metal,
,1700,Var,,6 lt ve Üzeri,,,,4.999,Karaca,,,
LED Ekran,1300,Var,Var,"4 - 4,9 lt",Tek,Yağsız_Airfryer,Dokunmatik,2.299,Pierre,,Metal,
,2400,Var,,"3 - 3,9 lt",Tek,Yağlı,Mekanik,13.100,Tefal,,Metal,
LED Ekran,1700,Var,,,,,,6.599,Kenwood,,,
